Algorithm,Seed,Return,Log time
DQN~test,43,5.401536308639235,06-15 17:16:27
DQN~test,43,3.819274455662148,06-15 17:16:27
DQN~test,43,4.1757706435068265,06-15 17:16:27
DQN~test,43,2.0196670561736862,06-15 17:16:27
DQN~test,43,1.6467566484332223,06-15 17:16:27
DQN~test,43,7.465586637727981,06-15 17:16:27
DQN~test,43,7.3350246702174475,06-15 17:16:28
DQN~test,43,7.376563073885514,06-15 17:16:28
DQN~test,43,0.9104891627863952,06-15 17:16:28
DQN~test,43,0.8216002738975062,06-15 17:16:28
DQN~test,43,0.8660447183419508,06-15 17:16:28
DQN~test,43,0.8444444444444446,06-15 17:16:28
DQN~test,43,1.891240608082553,06-15 17:16:28
DQN~test,43,1.7759958116720298,06-15 17:16:28
DQN~test,43,2.196139206408144,06-15 17:16:28
DQN~test,43,4.396763603849509,06-15 17:16:28
DQN~test,43,2.2634664643499467,06-15 17:16:29
DQN~test,43,4.248485643751316,06-15 17:16:29
DQN~test,43,0.8660447183419508,06-15 17:16:29
DQN~test,43,1.8870227506001775,06-15 17:16:29
DQN~test,43,0.08559670781893007,06-15 17:16:29
DQN~test,43,2.890473881252903,06-15 17:16:29
DQN~test,43,5.240254110182875,06-15 17:16:29
DQN~test,43,4.908085543069626,06-15 17:16:29
DQN~test,43,0.8216002738975062,06-15 17:16:29
DQN~test,43,2.399377276125195,06-15 17:16:30
DQN~test,43,16.17853502986253,06-15 17:16:30
DQN~test,43,2.6929305294963735,06-15 17:16:30
DQN~test,43,4.7999605981913644,06-15 17:16:30
DQN~test,43,8.336327983810364,06-15 17:16:31
DQN~test,43,2.421915324355804,06-15 17:16:31
DQN~test,43,0.8222222222222223,06-15 17:16:31
DQN~test,43,6.129052189637119,06-15 17:16:31
DQN~test,43,0.1522633744855967,06-15 17:16:31
DQN~test,43,0.20000000000000004,06-15 17:16:31
DQN~test,43,1.6620027434842253,06-15 17:16:31
DQN~test,43,0.9111111111111111,06-15 17:16:31
DQN~test,43,2.9573186684398904,06-15 17:16:31
DQN~test,43,6.423282453977448,06-15 17:16:31
DQN~test,43,0.20000000000000004,06-15 17:16:31
DQN~test,43,3.4438217205688746,06-15 17:16:32
DQN~test,43,2.9790446385765965,06-15 17:16:32
DQN~test,43,6.444185240586894,06-15 17:16:32
DQN~test,43,2.6868870349016767,06-15 17:16:32
DQN~test,43,1.0268861454046638,06-15 17:16:32
DQN~test,43,5.06835330900549,06-15 17:16:32
DQN~test,43,0.9327113850086175,06-15 17:16:32
DQN~test,43,0.7999999999999999,06-15 17:16:32
DQN~test,43,4.397104463263313,06-15 17:16:33
DQN~test,43,3.552313670762769,06-15 17:16:33
DQN~test,43,3.4215994983474167,06-15 17:16:33
DQN~test,43,2.2415035438889612,06-15 17:16:33
DQN~test,43,7.327730264214571,06-15 17:16:33
DQN~test,43,6.243561763440534,06-15 17:16:33
DQN~test,43,4.470128966803603,06-15 17:16:33
DQN~test,43,0.10781893004115228,06-15 17:16:34
DQN~test,43,3.5079128153171704,06-15 17:16:34
DQN~test,43,0.888266940564173,06-15 17:16:34
DQN~test,43,0.9327113850086175,06-15 17:16:34
DQN~test,43,4.042443285803239,06-15 17:16:34
DQN~test,43,2.824573941415886,06-15 17:16:34
DQN~test,43,1.0404558620955886,06-15 17:16:34
DQN~test,43,10.771891902733808,06-15 17:16:34
DQN~test,43,2.113158342536706,06-15 17:16:34
DQN~test,43,2.5771550546826028,06-15 17:16:35
DQN~test,43,4.667094643120296,06-15 17:16:35
DQN~test,43,2.462002743484225,06-15 17:16:35
DQN~test,43,7.181819763998053,06-15 17:16:35
DQN~test,43,10.06519741979601,06-15 17:16:35
DQN~test,43,3.641107494972583,06-15 17:16:36
DQN~test,43,3.3605640636607097,06-15 17:16:36
DQN~test,43,3.644184520727484,06-15 17:16:36
DQN~test,43,1.665465357980372,06-15 17:16:36
DQN~test,43,2.06374586596014,06-15 17:16:36
DQN~test,43,3.889811582453328,06-15 17:16:36
DQN~test,43,2.4239109365875886,06-15 17:16:36
DQN~test,43,11.776940565986202,06-15 17:16:37
DQN~test,43,2.046796163638108,06-15 17:16:37
DQN~test,43,0.8222222222222222,06-15 17:16:37
DQN~test,43,1.68559670781893,06-15 17:16:37
DQN~test,43,5.063796533930163,06-15 17:16:37
DQN~test,43,2.1581722473124025,06-15 17:16:37
DQN~test,43,3.107542116441893,06-15 17:16:37
DQN~test,43,3.801073105751562,06-15 17:16:37
DQN~test,43,0.8438224961197285,06-15 17:16:37
DQN~test,43,2.8704038194691144,06-15 17:16:38
DQN~test,43,6.445287906727469,06-15 17:16:38
DQN~test,43,1.665465357980372,06-15 17:16:38
DQN~test,43,3.108194485281641,06-15 17:16:38
DQN~test,43,0.7993780516752841,06-15 17:16:38
DQN~test,43,2.995686756884239,06-15 17:16:38
DQN~test,43,13.91196440010622,06-15 17:16:39
DQN~test,43,0.9333333333333332,06-15 17:16:39
DQN~test,43,2.2420927252507803,06-15 17:16:39
DQN~test,43,0.3157750342935528,06-15 17:16:39
DQN~test,43,2.908210294143209,06-15 17:16:39
DQN~test,43,1.6660447183419507,06-15 17:16:39
DQN~test,43,4.624538165879077,06-15 17:16:39
DQN~test,43,3.60265678891149,06-15 17:16:39
DQN~test,43,0.8216002738975062,06-15 17:16:40
DQN~test,43,5.243572023752891,06-15 17:16:40
DQN~test,43,3.402312203988778,06-15 17:16:40
DQN~test,43,2.513423315099889,06-15 17:16:40
DQN~test,43,6.75235564297305,06-15 17:16:40
DQN~test,43,7.1558592883132235,06-15 17:16:41
DQN~test,43,2.6707083072741513,06-15 17:16:41
DQN~test,43,1.5999999999999999,06-15 17:16:41
DQN~test,43,2.9324065629533287,06-15 17:16:41
DQN~test,43,3.773790335163134,06-15 17:16:41
DQN~test,43,3.3757759237905653,06-15 17:16:41
DQN~test,43,1.9352229190238397,06-15 17:16:42
DQN~test,43,0.7999999999999999,06-15 17:16:42
DQN~test,43,0.8216002738975062,06-15 17:16:42
DQN~test,43,5.288258635216115,06-15 17:16:42
DQN~test,43,2.7579072747492197,06-15 17:16:42
DQN~test,43,0.9327113850086175,06-15 17:16:42
DQN~test,43,3.7350550809475456,06-15 17:16:42
DQN~test,43,1.68559670781893,06-15 17:16:42
DQN~test,43,2.4647110665792127,06-15 17:16:43
DQN~test,43,2.819143113545956,06-15 17:16:43
DQN~test,43,2.1081702105556275,06-15 17:16:43
DQN~test,43,2.308135899372217,06-15 17:16:43
DQN~test,43,1.5532038363618916,06-15 17:16:43
DQN~test,43,3.7131583425367056,06-15 17:16:43
DQN~test,43,8.578740073122653,06-15 17:16:44
DQN~test,43,1.979667363468284,06-15 17:16:44
DQN~test,43,0.9333333333333333,06-15 17:16:44
DQN~test,43,3.2864421485948125,06-15 17:16:44
DQN~test,43,0.27133058984910835,06-15 17:16:44
DQN~test,43,2.046796163638108,06-15 17:16:44
DQN~test,43,4.4859159303313145,06-15 17:16:44
