Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_STA~regular,42,10.24644549763451,12,06-18 16:55:26
RDQN~cvae_STA~regular,42,10.24644549763451,24,06-18 16:55:26
RDQN~cvae_STA~regular,42,10.24644549763451,36,06-18 16:55:27
RDQN~cvae_STA~regular,42,10.24644549763451,48,06-18 16:55:27
RDQN~cvae_STA~regular,42,10.24644549763451,60,06-18 16:55:28
RDQN~cvae_STA~regular,42,10.24644549763451,72,06-18 16:55:28
RDQN~cvae_STA~regular,42,10.24644549763451,84,06-18 16:55:29
RDQN~cvae_STA~regular,42,10.24644549763451,96,06-18 16:55:29
RDQN~cvae_STA~regular,42,10.24644549763451,108,06-18 16:55:30
RDQN~cvae_STA~regular,42,10.24644549763451,120,06-18 16:55:30
RDQN~cvae_STA~regular,42,10.24644549763451,132,06-18 16:55:31
RDQN~cvae_STA~regular,42,10.24644549763451,144,06-18 16:55:31
RDQN~cvae_STA~regular,42,10.24644549763451,156,06-18 16:55:32
RDQN~cvae_STA~regular,42,10.24644549763451,168,06-18 16:55:32
RDQN~cvae_STA~regular,42,10.24644549763451,180,06-18 16:55:33
RDQN~cvae_STA~regular,42,10.24644549763451,192,06-18 16:55:33
RDQN~cvae_STA~regular,42,10.24644549763451,204,06-18 16:55:34
RDQN~cvae_STA~regular,42,10.24644549763451,216,06-18 16:55:35
RDQN~cvae_STA~regular,42,10.24644549763451,228,06-18 16:55:35
RDQN~cvae_STA~regular,42,10.24644549763451,240,06-18 16:55:36
RDQN~cvae_STA~regular,42,10.24644549763451,252,06-18 16:55:36
RDQN~cvae_STA~regular,42,10.24644549763451,730,06-18 16:55:38
RDQN~cvae_STA~regular,42,18.513112269993073,754,06-18 16:55:41
RDQN~cvae_STA~regular,42,11.57977884481962,768,06-18 16:55:43
RDQN~cvae_STA~regular,42,39.01977689261779,820,06-18 16:55:48
RDQN~cvae_STA~regular,42,11.579779619466354,834,06-18 16:55:49
RDQN~cvae_STA~regular,42,57.59733723546238,2615,06-18 16:56:00
RDQN~cvae_STA~regular,42,27.330670463546507,2651,06-18 16:56:04
RDQN~cvae_STA~regular,42,38.24875770186411,8115,06-18 16:56:12
RDQN~cvae_STA~regular,42,11.313112164565899,8129,06-18 16:56:14
RDQN~cvae_STA~regular,42,19.4197788265459,8154,06-18 16:56:18
RDQN~cvae_STA~regular,42,13.73067115892361,8171,06-18 16:56:20
RDQN~cvae_STA~regular,42,22.886445497620375,8201,06-18 16:56:25
RDQN~cvae_STA~regular,42,20.78209112810865,20000,06-18 16:56:30
RDQN~cvae_STA~regular,42,48.6197785756315,20000,06-18 16:56:38
RDQN~cvae_STA~regular,42,69.46898406119963,20000,06-18 16:56:51
RDQN~cvae_STA~regular,42,67.22022116903631,20000,06-18 16:57:05
RDQN~cvae_STA~regular,42,67.22022116903634,20000,06-18 16:57:15
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 16:57:28
RDQN~cvae_STA~regular,42,66.95325001460152,20000,06-18 16:57:41
RDQN~cvae_STA~regular,42,69.35355361161977,20000,06-18 16:57:54
RDQN~cvae_STA~regular,42,33.73067058247011,20000,06-18 16:58:01
RDQN~cvae_STA~regular,42,68.02022116903629,20000,06-18 16:58:14
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 16:58:28
RDQN~cvae_STA~regular,42,67.08688783570301,20000,06-18 16:58:41
RDQN~cvae_STA~regular,42,67.086887835703,20000,06-18 16:58:53
RDQN~cvae_STA~regular,42,66.82022116903624,20000,06-18 16:59:06
RDQN~cvae_STA~regular,42,45.68633537231706,20000,06-18 16:59:15
RDQN~cvae_STA~regular,42,54.9135081940969,20000,06-18 16:59:26
RDQN~cvae_STA~regular,42,32.26666666690748,20000,06-18 16:59:32
RDQN~cvae_STA~regular,42,12.353112164220237,20000,06-18 16:59:34
RDQN~cvae_STA~regular,42,40.246451590774335,20000,06-18 16:59:41
RDQN~cvae_STA~regular,42,68.68688714035702,20000,06-18 16:59:53
RDQN~cvae_STA~regular,42,69.3535545003359,20000,06-18 17:00:05
RDQN~cvae_STA~regular,42,69.04684234187773,20000,06-18 17:00:14
RDQN~cvae_STA~regular,42,71.08688714035698,20000,06-18 17:00:25
RDQN~cvae_STA~regular,42,66.8202211690363,20000,06-18 17:00:39
RDQN~cvae_STA~regular,42,69.88688783570302,20000,06-18 17:00:49
RDQN~cvae_STA~regular,42,73.19734401030189,20000,06-18 17:01:02
RDQN~cvae_STA~regular,42,14.513457640028289,20000,06-18 17:01:05
RDQN~cvae_STA~regular,42,11.048757794775314,20000,06-18 17:01:07
RDQN~cvae_STA~regular,42,10.913112859852667,20000,06-18 17:01:08
RDQN~cvae_STA~regular,42,71.20266286996899,20000,06-18 17:01:20
RDQN~cvae_STA~regular,42,68.66405605578571,20000,06-18 17:01:31
RDQN~cvae_STA~regular,42,69.60266217261682,20000,06-18 17:01:45
RDQN~cvae_STA~regular,42,67.22022116903628,20000,06-18 17:01:58
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:02:12
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:02:24
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:02:34
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:02:47
RDQN~cvae_STA~regular,42,66.82022116903627,20000,06-18 17:02:59
RDQN~cvae_STA~regular,42,66.82022116903627,20000,06-18 17:03:13
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:03:26
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:03:38
RDQN~cvae_STA~regular,42,66.9535545023696,20000,06-18 17:03:49
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:04:03
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:04:19
RDQN~cvae_STA~regular,42,66.9535545023696,20000,06-18 17:04:31
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:04:42
RDQN~cvae_STA~regular,42,66.82022116903627,20000,06-18 17:04:54
RDQN~cvae_STA~regular,42,68.6865833479349,20000,06-18 17:05:06
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:05:19
RDQN~cvae_STA~regular,42,66.68688783570293,20000,06-18 17:05:33
RDQN~cvae_STA~regular,42,67.0868878356713,20000,06-18 17:05:45
RDQN~cvae_STA~regular,42,68.68688783570299,20000,06-18 17:05:56
RDQN~cvae_STA~regular,42,69.62022116876443,20000,06-18 17:06:08
RDQN~cvae_STA~regular,42,69.61983120643853,20000,06-18 17:06:22
RDQN~cvae_STA~regular,42,66.82022116903627,20000,06-18 17:06:34
RDQN~cvae_STA~regular,42,69.48688783566776,20000,06-18 17:06:44
RDQN~cvae_STA~regular,42,69.46932953662795,20000,06-18 17:06:54
RDQN~cvae_STA~regular,42,69.21991666920627,20000,06-18 17:07:06
RDQN~cvae_STA~regular,42,67.2202210772585,20000,06-18 17:07:19
RDQN~cvae_STA~regular,42,69.48684773696029,20000,06-18 17:07:29
RDQN~cvae_STA~regular,42,73.61986443424264,20000,06-18 17:07:40
RDQN~cvae_STA~regular,42,69.48457561627082,20000,06-18 17:07:51
RDQN~cvae_STA~regular,42,67.21991658811204,20000,06-18 17:08:03
RDQN~cvae_STA~regular,42,69.6202211533563,20000,06-18 17:08:14
RDQN~cvae_STA~regular,42,69.8845747393759,20000,06-18 17:08:28
RDQN~cvae_STA~regular,42,69.48688773048843,20000,06-18 17:08:42
RDQN~cvae_STA~regular,42,69.62021428714998,20000,06-18 17:08:56
RDQN~cvae_STA~regular,42,67.46902504886751,20000,06-18 17:09:09
RDQN~cvae_STA~regular,42,68.64644640367781,20000,06-18 17:09:19
RDQN~cvae_STA~regular,42,67.37458389737743,20000,06-18 17:09:33
RDQN~cvae_STA~regular,42,66.95355450216051,20000,06-18 17:09:47
RDQN~cvae_STA~regular,42,69.0418198986901,20000,06-18 17:10:00
RDQN~cvae_STA~regular,42,67.20265758971277,20000,06-18 17:10:10
RDQN~cvae_STA~regular,42,66.8202211690363,20000,06-18 17:10:20
RDQN~cvae_STA~regular,42,69.60030986144874,20000,06-18 17:10:32
RDQN~cvae_STA~regular,42,13.664042889605208,20000,06-18 17:10:34
RDQN~cvae_STA~regular,42,69.75350224304493,20000,06-18 17:10:46
RDQN~cvae_STA~regular,42,2.774876960809875,20000,06-18 17:10:47
RDQN~cvae_STA~regular,42,67.2202210774676,20000,06-18 17:10:58
RDQN~cvae_STA~regular,42,2.774876960809875,20000,06-18 17:10:58
RDQN~cvae_STA~regular,42,1.66137925691776,20000,06-18 17:10:59
RDQN~cvae_STA~regular,42,2.774876960809875,20000,06-18 17:10:59
RDQN~cvae_STA~regular,42,48.37515323202344,20000,06-18 17:11:06
RDQN~cvae_STA~regular,42,69.64124346952876,20000,06-18 17:11:18
RDQN~cvae_STA~regular,42,67.3535545023696,20000,06-18 17:11:30
RDQN~cvae_STA~regular,42,67.33569162396601,20000,06-18 17:11:45
RDQN~cvae_STA~regular,42,67.35355371545172,20000,06-18 17:11:59
RDQN~cvae_STA~regular,42,67.35355440918597,20000,06-18 17:12:13
RDQN~cvae_STA~regular,42,67.22022107588016,20000,06-18 17:12:25
RDQN~cvae_STA~regular,42,70.15355359611297,20000,06-18 17:12:36
RDQN~cvae_STA~regular,42,68.64649167611077,20000,06-18 17:12:46
RDQN~cvae_STA~regular,42,70.02022116876377,20000,06-18 17:12:58
