Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
sumo,42,-2270.01,4002.0,314,2.080014918990428,06-13 12:23:47
sumo,42,-1877.45,15165.0,378,1.0713231402687187,06-13 12:23:56
sumo,42,-839.86,2829.0,172,2.5141307007875153,06-13 12:24:03
sumo,42,-129.85,555.0,33,7.498623096445137,06-13 12:24:09
sumo,42,-641.98,1060.0,104,3.0175448150080864,06-13 12:24:16
sumo,42,-322.05,911.0,27,5.042321467078622,06-13 12:24:21
sumo,42,-559.75,1732.0,50,3.9022903730449117,06-13 12:24:26
sumo,42,-236.72,3335.0,78,3.8932349742370547,06-13 12:24:33
sumo,42,-874.98,10557.0,127,2.1341960299332334,06-13 12:24:38
sumo,42,-523.72,2572.0,90,4.074320068340169,06-13 12:24:43
sumo,42,-549.88,1714.0,68,2.2956298474879033,06-13 12:24:48
sumo,42,-496.39,5082.0,61,3.7055068651831062,06-13 12:24:53
sumo,42,-89.37,400.0,12,7.354068417106612,06-13 12:24:58
sumo,42,-190.48,360.0,24,6.113746684830459,06-13 12:25:02
sumo,42,-121.33,165.0,32,5.940548356181271,06-13 12:25:09
sumo,42,-100.0,435.0,20,6.745798148418865,06-13 12:25:13
sumo,42,-822.14,4565.0,182,1.8903062764590133,06-13 12:25:19
sumo,42,-305.24,2922.0,43,6.042479244509073,06-13 12:25:24
sumo,42,-64.09,1522.0,31,3.722530502977834,06-13 12:25:29
sumo,42,-151.83,527.0,27,5.401147067312558,06-13 12:25:33
sumo,42,-74.59,304.0,15,8.493607523184492,06-13 12:25:37
sumo,42,-328.85,15822.0,114,2.348922534596502,06-13 12:25:42
sumo,42,-23.67,628.0,21,8.952313428590328,06-13 12:25:49
sumo,42,-173.1,1828.0,28,4.432495739430656,06-13 12:25:54
sumo,42,-174.8,3758.0,30,6.098864634844505,06-13 12:25:58
sumo,42,-26.8,266.0,20,9.545113859737826,06-13 12:26:05
sumo,42,-5.551115123125783e-16,0.0,0,10.393464151862549,06-13 12:26:09
sumo,42,-1.48,148.0,5,8.941392209246684,06-13 12:26:13
sumo,42,-651.79,1449.0,82,3.77918514127647,06-13 12:26:17
sumo,42,-507.68,3956.0,69,2.4326979617797595,06-13 12:26:21
sumo,42,-220.53,2495.0,32,4.087007357881239,06-13 12:26:25
sumo,42,-2.07,207.0,6,8.088432815752979,06-13 12:26:29
sumo,42,1.1102230246251565e-16,0.0,0,11.799123096979697,06-13 12:26:33
sumo,42,-3.3306690738754696e-16,0.0,0,13.13273367256432,06-13 12:26:37
sumo,42,-424.06,8966.0,69,2.0282510249143746,06-13 12:26:41
sumo,42,-36.68,1418.0,13,6.121554926916037,06-13 12:26:45
sumo,42,-53.94,1171.0,12,6.514529151725301,06-13 12:26:48
sumo,42,-2.14,214.0,4,6.626333882330479,06-13 12:26:51
sumo,42,-140.24,3090.0,22,5.251080894347038,06-13 12:26:54
sumo,42,0.0,0.0,0,13.420912787685413,06-13 12:26:57
sumo,42,-4.12,412.0,10,6.343612288942255,06-13 12:27:00
sumo,42,-47.74,2642.0,11,5.5553867445259675,06-13 12:27:04
sumo,42,-29.6,775.0,9,3.932651937641365,06-13 12:27:07
sumo,42,-24.26,1002.0,21,3.8765601948712805,06-13 12:27:10
sumo,42,-2.17,217.0,4,6.609319853307696,06-13 12:27:14
sumo,42,-3.43,343.0,9,7.104637987931728,06-13 12:27:16
sumo,42,-1.6000000000000005,160.0,1,12.27400029442877,06-13 12:27:19
sumo,42,-0.6900000000000002,69.0,2,10.881068156311105,06-13 12:27:23
sumo,42,-1.06,106.0,4,10.015316228381067,06-13 12:27:26
sumo,42,-0.6899999999999978,69.0,2,11.638540634738284,06-13 12:27:29
sumo,42,-8.22,787.0,11,3.656074138424482,06-13 12:27:32
