,Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
0,PPO,43,-3860.89,29195,445,1.566582663,2024/5/12 15:05
1,PPO,43,-1117.73,6179,164,2.806748625,2024/5/12 15:06
2,PPO,43,-700.31,2268,147,3.034958698,2024/5/12 15:07
3,PPO,43,-1133.14,4003,188,1.828076866,2024/5/12 15:08
4,PPO,43,-181.66,1410,30,6.668654088,2024/5/12 15:09
5,PPO,43,-599.41,2730,72,2.284211606,2024/5/12 15:09
6,PPO,43,-1115.06,25781,127,1.605248556,2024/5/12 15:10
7,PPO,43,-830.72,9533,77,2.523725851,2024/5/12 15:11
8,PPO,43,-753.31,2417,89,4.048712409,2024/5/12 15:12
9,PPO,43,-481.92,2699,117,3.54682483,2024/5/12 15:12
10,PPO,43,-602.92,2540,69,4.483938815,2024/5/12 15:13
11,PPO,43,-719.74,4191,90,2.194335703,2024/5/12 15:14
12,PPO,43,-686.4,1928,74,2.24695564,2024/5/12 15:14
13,PPO,43,-305.06,1752,35,5.165419607,2024/5/12 15:15
14,PPO,43,-346.52,1442,52,2.779376031,2024/5/12 15:16
15,PPO,43,-204.92,719,35,7.718748094,2024/5/12 15:17
16,PPO,43,-129.53,375,26,4.950706122,2024/5/12 15:18
17,PPO,43,-383.17,996,46,5.715357495,2024/5/12 15:18
18,PPO,43,-111.45,1268,15,6.568211088,2024/5/12 15:19
19,PPO,43,-139.56,999,37,7.131520666,2024/5/12 15:20
20,PPO,43,-116.38,412,23,5.770353289,2024/5/12 15:21
21,PPO,43,-259.69,1313,42,3.804571297,2024/5/12 15:22
22,PPO,43,-126.01,307,22,6.185294329,2024/5/12 15:22
23,PPO,43,-654.83,2716,99,2.29513141,2024/5/12 15:23
24,PPO,43,-68.3,378,18,8.596993303,2024/5/12 15:23
25,PPO,43,-129.37,2233,29,6.451085375,2024/5/12 15:24
26,PPO,43,-11.48,246,7,9.570067142,2024/5/12 15:25
27,PPO,43,-50.15,49,7,9.216794869,2024/5/12 15:25
28,PPO,43,-156.53,517,23,7.183831681,2024/5/12 15:26
29,PPO,43,-216.08,358,28,4.789224169,2024/5/12 15:26
30,PPO,43,-321.59,1538,54,3.766057922,2024/5/12 15:27
31,PPO,43,-18.82,324,12,7.934617806,2024/5/12 15:27
32,PPO,43,-30.09,258,14,6.203962182,2024/5/12 15:28
33,PPO,43,-54.42,791,19,7.695063065,2024/5/12 15:29
34,PPO,43,-47.01,584,20,6.214698484,2024/5/12 15:29
35,PPO,43,-0.24,24,1,12.44738769,2024/5/12 15:30
36,PPO,43,-10.7,339,11,7.965118886,2024/5/12 15:30
37,PPO,43,-283.63,415,32,5.112827407,2024/5/12 15:31
38,PPO,43,-18.51,31,2,10.67436896,2024/5/12 15:31
39,PPO,43,-54.42,440,7,8.61589624,2024/5/12 15:32
40,PPO,43,-0.54,54,2,11.64403244,2024/5/12 15:33
41,PPO,43,-5.98,477,9,5.685457265,2024/5/12 15:33
42,PPO,43,-53.78,690,28,5.217295192,2024/5/12 15:34
43,PPO,43,-5.55E-17,0,0,11.77975379,2024/5/12 15:34
44,PPO,43,-22.64,361,12,7.607162923,2024/5/12 15:34
45,PPO,43,-2.91,291,5,7.385349301,2024/5/12 15:35
46,PPO,43,-29.18,157,7,7.779104486,2024/5/12 15:35
47,PPO,43,-2.88,289,5,9.471420089,2024/5/12 15:36
48,PPO,43,-2.74,222,6,9.329560905,2024/5/12 15:36
49,PPO,43,-35.77,418,18,8.738309538,2024/5/12 15:37
50,PPO,43,1.11E-16,0,0,13.27762944,2024/5/12 15:37
51,PPO,43,-0.74,74,3,10.19412477,2024/5/12 15:38
52,PPO,43,-177.94,286,21,4.629894529,2024/5/12 15:38
53,PPO,43,-3.34,108,5,12.15036618,2024/5/12 15:38
54,PPO,43,-2.22E-16,0,0,13.29594276,2024/5/12 15:39
55,PPO,43,-0.75,75,3,12.37533482,2024/5/12 15:39
56,PPO,43,-0.25,25,1,12.61607155,2024/5/12 15:39
57,PPO,43,-21.81,2181,16,5.76125065,2024/5/12 15:40
58,PPO,43,-186.2,2940,18,5.573746273,2024/5/12 15:40
59,PPO,43,-1.80E-16,0,0,13.16389166,2024/5/12 15:41
60,PPO,43,-28.52,1701,21,2.553908287,2024/5/12 15:41
61,PPO,43,-0.21,21,1,12.9409906,2024/5/12 15:41
62,PPO,43,-2.01,201,4,9.680836129,2024/5/12 15:42
63,PPO,43,-0.75,75,3,11.26153236,2024/5/12 15:42
64,PPO,43,-1.45,145,4,9.916414986,2024/5/12 15:42
65,PPO,43,-12.26,1048,8,7.611376202,2024/5/12 15:43
66,PPO,43,-2.9,87,5,11.9328011,2024/5/12 15:43
67,PPO,43,-8.6,837,4,8.44490448,2024/5/12 15:44
68,PPO,43,-25.31,397,16,7.933202131,2024/5/12 15:44
69,PPO,43,-37.85,1960,24,5.383164199,2024/5/12 15:44
70,PPO,43,-24.15,2415,17,5.575147039,2024/5/12 15:45
71,PPO,43,-7.8,780,10,7.154103313,2024/5/12 15:45
72,PPO,43,-3.94,394,6,8.950017248,2024/5/12 15:46
73,PPO,43,-2.84,0,0,8.738276764,2024/5/12 15:46
74,PPO,43,-13.13,1313,12,6.697579889,2024/5/12 15:46
75,PPO,43,-10.8,755,9,7.505511055,2024/5/12 15:47
76,PPO,43,-2.83,283,7,9.438308816,2024/5/12 15:47
77,PPO,43,-0.54,54,2,11.52436747,2024/5/12 15:47
78,PPO,43,-37.12,596,13,7.667891528,2024/5/12 15:48
79,PPO,43,-0.19,0,0,9.78583302,2024/5/12 15:48
80,PPO,43,-3.2,117,4,5.846854336,2024/5/12 15:49
81,PPO,43,3.89E-16,0,0,12.53346736,2024/5/12 15:49
82,PPO,43,-1.68,168,1,12.44519304,2024/5/12 15:49
83,PPO,43,-0.19,0,0,11.27369005,2024/5/12 15:50
84,PPO,43,-1.39E-17,0,0,13.06553855,2024/5/12 15:50
85,PPO,43,0,0,0,11.59380582,2024/5/12 15:51
86,PPO,43,-21.81,2181,16,5.625621912,2024/5/12 15:51
87,PPO,43,-1.73,173,6,7.827938847,2024/5/12 15:51
88,PPO,43,-5.00E-16,0,0,12.60120285,2024/5/12 15:52
89,PPO,43,-1.7,122,3,7.774675423,2024/5/12 15:52
90,PPO,43,-0.2,20,1,12.67861144,2024/5/12 15:52
91,PPO,43,1.11E-16,0,0,13.32368977,2024/5/12 15:53
92,PPO,43,2.22E-16,0,0,11.6735701,2024/5/12 15:53
93,PPO,43,-2.91,291,5,9.816462839,2024/5/12 15:53
94,PPO,43,-3.25,0,0,7.922445444,2024/5/12 15:54
95,PPO,43,-8.39,839,4,10.09337305,2024/5/12 15:54
96,PPO,43,-0.2,20,1,12.38034528,2024/5/12 15:54
97,PPO,43,-0.53,53,2,11.49142036,2024/5/12 15:55
98,PPO,43,-0.55,55,2,11.03221379,2024/5/12 15:55
99,PPO,43,-7.61,761,9,7.549367754,2024/5/12 15:56
