Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~KeepTrain~cvae~expert,47,-2197.82,4830.0,298,1.7839337970045441,06-14 12:23:40
PPO~KeepTrain~cvae~expert,47,-1377.93,2351.0,219,2.138261228026858,06-14 12:23:49
PPO~KeepTrain~cvae~expert,47,-182.8,361.0,30,6.013557922915078,06-14 12:23:56
PPO~KeepTrain~cvae~expert,47,-155.38,1037.0,38,6.841646081612536,06-14 12:24:01
PPO~KeepTrain~cvae~expert,47,-940.21,23260.0,261,1.9588232167770794,06-14 12:24:10
PPO~KeepTrain~cvae~expert,47,-125.77,954.0,39,6.757763512294873,06-14 12:24:16
PPO~KeepTrain~cvae~expert,47,-201.01,403.0,28,5.864241337093568,06-14 12:24:22
PPO~KeepTrain~cvae~expert,47,-465.54,2700.0,58,3.4520205279986276,06-14 12:24:26
PPO~KeepTrain~cvae~expert,47,-481.37,4026.0,96,3.2134618362045595,06-14 12:24:31
PPO~KeepTrain~cvae~expert,47,-335.01,2278.0,67,4.336246997487711,06-14 12:24:37
PPO~KeepTrain~cvae~expert,47,-744.15,5716.0,107,2.3397072426197516,06-14 12:24:41
PPO~KeepTrain~cvae~expert,47,-412.29,1925.0,46,3.008807443195999,06-14 12:24:47
PPO~KeepTrain~cvae~expert,47,-632.04,5915.0,87,2.4089105632969767,06-14 12:24:52
PPO~KeepTrain~cvae~expert,47,-249.52,2917.0,39,4.023246436438815,06-14 12:24:56
PPO~KeepTrain~cvae~expert,47,-302.97,1581.0,76,3.7870455149979967,06-14 12:25:02
PPO~KeepTrain~cvae~expert,47,-372.9,740.0,43,3.4588589108863603,06-14 12:25:07
PPO~KeepTrain~cvae~expert,47,-450.02,677.0,43,3.3636630145747812,06-14 12:25:12
PPO~KeepTrain~cvae~expert,47,-466.17,2036.0,65,2.9834838207430185,06-14 12:25:16
PPO~KeepTrain~cvae~expert,47,-423.06,7238.0,64,2.949798631839959,06-14 12:25:21
PPO~KeepTrain~cvae~expert,47,-339.89,1426.0,33,4.19519735279052,06-14 12:25:25
PPO~KeepTrain~cvae~expert,47,-330.2,1494.0,55,3.834845047917127,06-14 12:25:28
PPO~KeepTrain~cvae~expert,47,-90.5,385.0,20,6.700301305728243,06-14 12:25:32
PPO~KeepTrain~cvae~expert,47,-81.18,256.0,16,7.136607301146778,06-14 12:25:36
PPO~KeepTrain~cvae~expert,47,-56.95,760.0,20,8.461167065156546,06-14 12:25:41
PPO~KeepTrain~cvae~expert,47,-15.23,103.0,5,8.872676353518342,06-14 12:25:45
PPO~KeepTrain~cvae~expert,47,-18.14,99.0,5,9.381765977865756,06-14 12:25:49
PPO~KeepTrain~cvae~expert,47,-10.02,197.0,4,11.825712934674732,06-14 12:25:53
PPO~KeepTrain~cvae~expert,47,-10.21,134.0,5,8.698308081253773,06-14 12:25:57
PPO~KeepTrain~cvae~expert,47,-19.77,638.0,7,8.831596712928278,06-14 12:26:00
PPO~KeepTrain~cvae~expert,47,-114.62,2360.0,22,5.216242884557813,06-14 12:26:04
PPO~KeepTrain~cvae~expert,47,-216.31,2187.0,39,3.606238354631803,06-14 12:26:07
PPO~KeepTrain~cvae~expert,47,-207.42,2131.0,44,2.375315169257189,06-14 12:26:10
PPO~KeepTrain~cvae~expert,47,-51.3,453.0,10,7.427405343367903,06-14 12:26:13
PPO~KeepTrain~cvae~expert,47,-18.37,543.0,5,10.908565026271182,06-14 12:26:16
PPO~KeepTrain~cvae~expert,47,-53.36,208.0,13,8.213984273122025,06-14 12:26:19
PPO~KeepTrain~cvae~expert,47,-3.42,159.0,1,9.34237752651917,06-14 12:26:22
PPO~KeepTrain~cvae~expert,47,-187.57,726.0,29,6.230656987920233,06-14 12:26:25
PPO~KeepTrain~cvae~expert,47,-4.24,241.0,5,10.212798955062368,06-14 12:26:28
PPO~KeepTrain~cvae~expert,47,-6.08,0.0,0,11.958737712708366,06-14 12:26:32
PPO~KeepTrain~cvae~expert,47,-22.64,107.0,6,8.958527167516712,06-14 12:26:35
PPO~KeepTrain~cvae~expert,47,-35.15,358.0,12,6.4302362308102525,06-14 12:26:38
PPO~KeepTrain~cvae~expert,47,-31.11,1056.0,8,8.779837851956454,06-14 12:26:41
PPO~KeepTrain~cvae~expert,47,-192.49,922.0,25,3.6213221146986094,06-14 12:26:44
PPO~KeepTrain~cvae~expert,47,-82.74,433.0,10,6.156149012116954,06-14 12:26:48
PPO~KeepTrain~cvae~expert,47,-137.64,2235.0,29,3.8915935493874123,06-14 12:26:51
PPO~KeepTrain~cvae~expert,47,5.551115123125783e-17,0.0,0,13.171462305807495,06-14 12:26:54
PPO~KeepTrain~cvae~expert,47,-32.89,1075.0,17,5.233277374644689,06-14 12:26:57
PPO~KeepTrain~cvae~expert,47,-91.63,994.0,16,6.531436587050473,06-14 12:27:00
PPO~KeepTrain~cvae~expert,47,-33.21,166.0,12,6.345294427946323,06-14 12:27:02
PPO~KeepTrain~cvae~expert,47,-4.440892098500626e-16,0.0,0,11.169414963717331,06-14 12:27:05
PPO~KeepTrain~cvae~expert,47,-5.61,195.0,2,10.951337577513499,06-14 12:27:08
PPO~KeepTrain~cvae~expert,47,-48.98,189.0,5,8.249721412090311,06-14 12:27:11
PPO~KeepTrain~cvae~expert,47,-9.91,679.0,3,9.071624244411417,06-14 12:27:14
PPO~KeepTrain~cvae~expert,47,-2.130000000000001,213.0,4,10.103590770022308,06-14 12:27:16
PPO~KeepTrain~cvae~expert,47,-10.24,75.0,1,10.011930944829414,06-14 12:27:20
PPO~KeepTrain~cvae~expert,47,-2.17,217.0,6,8.518041246031528,06-14 12:27:22
PPO~KeepTrain~cvae~expert,47,4.996003610813204e-16,0.0,0,12.432634291725567,06-14 12:27:25
PPO~KeepTrain~cvae~expert,47,-0.6699999999999992,67.0,2,11.285825559630617,06-14 12:27:28
PPO~KeepTrain~cvae~expert,47,-0.16999999999999968,17.0,1,13.32789982367086,06-14 12:27:31
PPO~KeepTrain~cvae~expert,47,-65.18,1608.0,14,5.9518446321608955,06-14 12:27:34
PPO~KeepTrain~cvae~expert,47,0.0,0.0,0,13.599565853491296,06-14 12:27:37
PPO~KeepTrain~cvae~expert,47,5.551115123125783e-17,0.0,0,12.567146084244293,06-14 12:27:39
PPO~KeepTrain~cvae~expert,47,-3.8000000000000003,282.0,7,8.108395371309747,06-14 12:27:42
PPO~KeepTrain~cvae~expert,47,-52.16,421.0,14,6.41626197634305,06-14 12:27:45
PPO~KeepTrain~cvae~expert,47,-14.25,165.0,4,10.34851689947318,06-14 12:27:48
PPO~KeepTrain~cvae~expert,47,-28.34,1251.0,7,8.582535060438463,06-14 12:27:51
PPO~KeepTrain~cvae~expert,47,-14.17,506.0,4,8.430380578077369,06-14 12:27:54
PPO~KeepTrain~cvae~expert,47,1.6306400674181987e-16,0.0,0,12.97822010087718,06-14 12:27:57
PPO~KeepTrain~cvae~expert,47,-1.734723475976807e-17,0.0,0,13.445873338293687,06-14 12:28:00
PPO~KeepTrain~cvae~expert,47,-1.69,169.0,6,7.940326003544662,06-14 12:28:03
PPO~KeepTrain~cvae~expert,47,-2.7755575615628914e-17,0.0,0,13.30979093410647,06-14 12:28:06
PPO~KeepTrain~cvae~expert,47,0.0,0.0,0,11.933530272502274,06-14 12:28:09
PPO~KeepTrain~cvae~expert,47,-1.0299999999999998,103.0,4,10.242973877901296,06-14 12:28:12
PPO~KeepTrain~cvae~expert,47,0.0,0.0,0,12.442006017765383,06-14 12:28:15
PPO~KeepTrain~cvae~expert,47,-0.4500000000000002,0.0,0,8.345042195391779,06-14 12:28:18
PPO~KeepTrain~cvae~expert,47,-2.85,285.0,7,8.40216127686875,06-14 12:28:21
PPO~KeepTrain~cvae~expert,47,-1.7,170.0,6,9.29327546842617,06-14 12:28:24
PPO~KeepTrain~cvae~expert,47,-3.89,389.0,4,10.570634487618129,06-14 12:28:26
PPO~KeepTrain~cvae~expert,47,-1.0399999999999996,104.0,4,9.17417380952958,06-14 12:28:29
PPO~KeepTrain~cvae~expert,47,-15.22,547.0,14,6.832264350787851,06-14 12:28:33
PPO~KeepTrain~cvae~expert,47,-1.6999999999999997,170.0,6,6.476875150268874,06-14 12:28:36
PPO~KeepTrain~cvae~expert,47,-34.8,1132.0,25,4.695179231926781,06-14 12:28:39
PPO~KeepTrain~cvae~expert,47,-27.31,283.0,9,7.938044265752981,06-14 12:28:42
PPO~KeepTrain~cvae~expert,47,-4.740000000000001,448.0,10,7.514976783058657,06-14 12:28:45
PPO~KeepTrain~cvae~expert,47,-1.67,167.0,6,7.589619429302652,06-14 12:28:48
PPO~KeepTrain~cvae~expert,47,-8.881784197001252e-16,0.0,0,12.243700359596966,06-14 12:28:51
PPO~KeepTrain~cvae~expert,47,-2.86,286.0,7,6.324414229107003,06-14 12:28:53
PPO~KeepTrain~cvae~expert,47,-4.97,497.0,11,4.090063690973858,06-14 12:28:56
PPO~KeepTrain~cvae~expert,47,1.1102230246251565e-16,0.0,0,11.171740042297067,06-14 12:28:59
PPO~KeepTrain~cvae~expert,47,-8.24,474.0,10,5.905407382801744,06-14 12:29:02
