Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~KeepTrain~cvae~regular,50,-2848.58,26968.0,470,1.0539816180262847,06-14 12:41:08
PPO~KeepTrain~cvae~regular,50,-708.0,5160.0,231,1.4636971751647343,06-14 12:41:14
PPO~KeepTrain~cvae~regular,50,-691.09,6457.0,199,1.5234634749381102,06-14 12:41:21
PPO~KeepTrain~cvae~regular,50,-325.38,1664.0,56,4.252538495444981,06-14 12:41:27
PPO~KeepTrain~cvae~regular,50,-728.0,2957.0,85,2.996114945089877,06-14 12:41:31
PPO~KeepTrain~cvae~regular,50,-607.25,9673.0,91,4.064598153532893,06-14 12:41:35
PPO~KeepTrain~cvae~regular,50,-407.01,675.0,37,5.092911332843537,06-14 12:41:41
PPO~KeepTrain~cvae~regular,50,-274.79,479.0,46,4.693235042570071,06-14 12:41:45
PPO~KeepTrain~cvae~regular,50,-401.34,5599.0,67,2.607491052985545,06-14 12:41:50
PPO~KeepTrain~cvae~regular,50,-895.01,2437.0,131,2.585276066207597,06-14 12:41:55
PPO~KeepTrain~cvae~regular,50,-708.32,8205.0,151,2.131257889182368,06-14 12:42:00
PPO~KeepTrain~cvae~regular,50,-496.8,1600.0,63,2.8066983858538146,06-14 12:42:04
PPO~KeepTrain~cvae~regular,50,-544.31,2794.0,57,2.5812764233576004,06-14 12:42:08
PPO~KeepTrain~cvae~regular,50,-380.99,232.0,41,4.158605588775423,06-14 12:42:12
PPO~KeepTrain~cvae~regular,50,-837.99,8264.0,83,4.197707496247017,06-14 12:42:18
PPO~KeepTrain~cvae~regular,50,-365.07,2304.0,43,3.3166511789091135,06-14 12:42:22
PPO~KeepTrain~cvae~regular,50,-559.9,513.0,41,3.3140123633125507,06-14 12:42:26
PPO~KeepTrain~cvae~regular,50,-647.64,8774.0,91,1.946039224856653,06-14 12:42:30
PPO~KeepTrain~cvae~regular,50,-670.09,3473.0,67,2.2596130369417384,06-14 12:42:34
PPO~KeepTrain~cvae~regular,50,-281.71,3510.0,52,3.433985556184131,06-14 12:42:37
PPO~KeepTrain~cvae~regular,50,-113.85,1999.0,34,4.2710717026604215,06-14 12:42:41
PPO~KeepTrain~cvae~regular,50,-135.79,1011.0,26,6.533825439797144,06-14 12:42:45
PPO~KeepTrain~cvae~regular,50,-31.16,730.0,16,6.369414849718999,06-14 12:42:48
PPO~KeepTrain~cvae~regular,50,-100.99,219.0,10,6.863117812458623,06-14 12:42:52
PPO~KeepTrain~cvae~regular,50,-28.17,262.0,4,5.977694932703463,06-14 12:42:56
PPO~KeepTrain~cvae~regular,50,-16.83,1303.0,14,6.291800578683746,06-14 12:43:00
PPO~KeepTrain~cvae~regular,50,-36.27,170.0,9,8.545326369410462,06-14 12:43:04
PPO~KeepTrain~cvae~regular,50,-50.92,311.0,7,6.80478405250113,06-14 12:43:07
PPO~KeepTrain~cvae~regular,50,-94.95,398.0,16,6.232067363673361,06-14 12:43:11
PPO~KeepTrain~cvae~regular,50,-20.92,513.0,11,6.055075604388731,06-14 12:43:14
PPO~KeepTrain~cvae~regular,50,-4.996003610813204e-16,0.0,0,12.59477614778995,06-14 12:43:17
PPO~KeepTrain~cvae~regular,50,-17.99,611.0,16,6.770524802787057,06-14 12:43:20
PPO~KeepTrain~cvae~regular,50,-3.16,316.0,8,7.80798334830177,06-14 12:43:23
PPO~KeepTrain~cvae~regular,50,-1.4500000000000006,145.0,5,9.341206898674198,06-14 12:43:26
