Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~KeepTrian~detach~cvae~expert,42,-2270.01,4002.0,314,2.080014918990428,06-14 12:36:43
PPO~KeepTrian~detach~cvae~expert,42,-1877.45,15165.0,378,1.0713231402687187,06-14 12:36:56
PPO~KeepTrian~detach~cvae~expert,42,-839.86,2829.0,172,2.5141307007875153,06-14 12:37:04
PPO~KeepTrian~detach~cvae~expert,42,-129.85,555.0,33,7.498623096445137,06-14 12:37:10
PPO~KeepTrian~detach~cvae~expert,42,-641.98,1060.0,104,3.0175448150080864,06-14 12:37:19
PPO~KeepTrian~detach~cvae~expert,42,-322.05,911.0,27,5.042321467078622,06-14 12:37:24
PPO~KeepTrian~detach~cvae~expert,42,-559.75,1732.0,50,3.9022903730449117,06-14 12:37:29
PPO~KeepTrian~detach~cvae~expert,42,-236.72,3335.0,78,3.8932349742370547,06-14 12:37:36
PPO~KeepTrian~detach~cvae~expert,42,-863.12,11094.0,128,2.0146899449739246,06-14 12:37:41
PPO~KeepTrian~detach~cvae~expert,42,-498.16,2552.0,87,4.220317433782308,06-14 12:37:48
PPO~KeepTrian~detach~cvae~expert,42,-620.08,1751.0,71,1.7828079010651743,06-14 12:37:54
PPO~KeepTrian~detach~cvae~expert,42,-620.24,6204.0,77,3.105040210923412,06-14 12:37:59
PPO~KeepTrian~detach~cvae~expert,42,-245.25,2459.0,40,4.708572930119195,06-14 12:38:04
PPO~KeepTrian~detach~cvae~expert,42,-225.91,144.0,19,5.83724708309453,06-14 12:38:10
PPO~KeepTrian~detach~cvae~expert,42,-183.05,178.0,37,5.240094621866755,06-14 12:38:17
PPO~KeepTrian~detach~cvae~expert,42,-95.66,361.0,18,6.688952427839985,06-14 12:38:23
PPO~KeepTrian~detach~cvae~expert,42,-583.05,5866.0,141,2.281577379025872,06-14 12:38:29
PPO~KeepTrian~detach~cvae~expert,42,-657.71,3467.0,91,3.966048838807408,06-14 12:38:34
PPO~KeepTrian~detach~cvae~expert,42,-120.2,528.0,24,5.6576951825267505,06-14 12:38:39
PPO~KeepTrian~detach~cvae~expert,42,-369.59,2601.0,57,2.448780730117599,06-14 12:38:46
PPO~KeepTrian~detach~cvae~expert,42,-60.3,587.0,5,7.61989980898581,06-14 12:38:50
PPO~KeepTrian~detach~cvae~expert,42,-176.07,191.0,18,6.930307664158407,06-14 12:38:55
PPO~KeepTrian~detach~cvae~expert,42,5.551115123125783e-17,0.0,0,12.470153830142847,06-14 12:39:01
PPO~KeepTrian~detach~cvae~expert,42,-245.89,473.0,28,4.073518684514143,06-14 12:39:07
PPO~KeepTrian~detach~cvae~expert,42,1.0547118733938987e-15,0.0,0,13.500530765062733,06-14 12:39:12
PPO~KeepTrian~detach~cvae~expert,42,-0.1899999999999994,0.0,0,10.58180612980839,06-14 12:39:17
PPO~KeepTrian~detach~cvae~expert,42,-608.54,10082.0,77,1.7489144648924806,06-14 12:39:22
PPO~KeepTrian~detach~cvae~expert,42,-100.39,2542.0,35,4.734294281120669,06-14 12:39:26
PPO~KeepTrian~detach~cvae~expert,42,-2.220446049250313e-16,0.0,0,12.848600500854197,06-14 12:39:31
PPO~KeepTrian~detach~cvae~expert,42,-65.84,293.0,11,8.074066055206007,06-14 12:39:36
PPO~KeepTrian~detach~cvae~expert,42,-695.4,4890.0,88,1.6057161231891677,06-14 12:39:43
PPO~KeepTrian~detach~cvae~expert,42,-445.57,26534.0,58,2.566077337913226,06-14 12:39:48
PPO~KeepTrian~detach~cvae~expert,42,-4.996003610813204e-16,0.0,0,12.931277730950546,06-14 12:39:52
PPO~KeepTrian~detach~cvae~expert,42,-0.4000000000000004,40.0,2,12.653096853444705,06-14 12:39:57
PPO~KeepTrian~detach~cvae~expert,42,-5.551115123125783e-17,0.0,0,13.249525631970368,06-14 12:40:01
PPO~KeepTrian~detach~cvae~expert,42,-75.41,162.0,8,8.4753587254746,06-14 12:40:05
PPO~KeepTrian~detach~cvae~expert,42,-6.75,675.0,11,7.932432104729054,06-14 12:40:10
PPO~KeepTrian~detach~cvae~expert,42,-14.19,873.0,11,5.1773656129838725,06-14 12:40:16
PPO~KeepTrian~detach~cvae~expert,42,-0.38999999999999985,39.0,2,11.857261077456851,06-14 12:40:19
PPO~KeepTrian~detach~cvae~expert,42,-313.37,4534.0,45,3.4315471918575478,06-14 12:40:23
PPO~KeepTrian~detach~cvae~expert,42,-2.76,276.0,7,7.009551436760182,06-14 12:40:27
PPO~KeepTrian~detach~cvae~expert,42,-45.82,1789.0,10,5.817737334515537,06-14 12:40:31
PPO~KeepTrian~detach~cvae~expert,42,-2.7755575615628914e-16,0.0,0,12.508788955017431,06-14 12:40:35
PPO~KeepTrian~detach~cvae~expert,42,-0.6899999999999997,69.0,2,11.404542218543693,06-14 12:40:39
PPO~KeepTrian~detach~cvae~expert,42,-3.6999999999999993,370.0,2,10.592874642739659,06-14 12:40:43
PPO~KeepTrian~detach~cvae~expert,42,-24.89,85.0,6,8.83373685549004,06-14 12:40:47
PPO~KeepTrian~detach~cvae~expert,42,-49.97,3765.0,12,7.133450250422914,06-14 12:40:50
PPO~KeepTrian~detach~cvae~expert,42,-1.61,161.0,1,12.172093914062616,06-14 12:40:53
PPO~KeepTrian~detach~cvae~expert,42,-2.3,230.0,3,10.650621956860599,06-14 12:40:56
PPO~KeepTrian~detach~cvae~expert,42,-6.96,220.0,4,10.469946195050548,06-14 12:41:00
PPO~KeepTrian~detach~cvae~expert,42,-11.51,1116.0,13,3.3708171402965474,06-14 12:41:03
PPO~KeepTrian~detach~cvae~expert,42,-0.39999999999999974,40.0,2,12.080396947700413,06-14 12:41:06
PPO~KeepTrian~detach~cvae~expert,42,-1.6000000000000023,160.0,1,12.542388706143939,06-14 12:41:09
PPO~KeepTrian~detach~cvae~expert,42,-18.8,1523.0,12,6.05296535422324,06-14 12:41:13
PPO~KeepTrian~detach~cvae~expert,42,-23.63,2091.0,23,2.3467000646311336,06-14 12:41:18
PPO~KeepTrian~detach~cvae~expert,42,-14.19,1415.0,13,4.6912864989439615,06-14 12:41:22
PPO~KeepTrian~detach~cvae~expert,42,-1.4800000000000002,148.0,5,9.911710754550896,06-14 12:41:24
PPO~KeepTrian~detach~cvae~expert,42,-11.2,1120.0,13,6.713966970733602,06-14 12:41:27
PPO~KeepTrian~detach~cvae~expert,42,-9.14,471.0,9,5.8306474543076625,06-14 12:41:31
PPO~KeepTrian~detach~cvae~expert,42,0.0,0.0,0,12.80077726039901,06-14 12:41:35
PPO~KeepTrian~detach~cvae~expert,42,-15.01,70.0,3,8.541597122542496,06-14 12:41:38
PPO~KeepTrian~detach~cvae~expert,42,-0.6999999999999977,70.0,2,10.600856583163585,06-14 12:41:42
PPO~KeepTrian~detach~cvae~expert,42,-1.0700000000000003,107.0,4,9.797448594610987,06-14 12:41:45
PPO~KeepTrian~detach~cvae~expert,42,2.220446049250313e-16,0.0,0,13.449993075752001,06-14 12:41:48
PPO~KeepTrian~detach~cvae~expert,42,-1.457167719820518e-16,0.0,0,13.3575703744008,06-14 12:41:52
PPO~KeepTrian~detach~cvae~expert,42,-1.5000000000000002,150.0,5,6.841238403933887,06-14 12:41:55
PPO~KeepTrian~detach~cvae~expert,42,-0.3999999999999992,40.0,2,12.197230965095805,06-14 12:41:58
PPO~KeepTrian~detach~cvae~expert,42,-4.44,444.0,10,5.460771151659729,06-14 12:42:01
PPO~KeepTrian~detach~cvae~expert,42,-0.3899999999999998,39.0,2,11.503131145883463,06-14 12:42:05
PPO~KeepTrian~detach~cvae~expert,42,-0.16999999999999993,0.0,0,9.510897745058582,06-14 12:42:09
PPO~KeepTrian~detach~cvae~expert,42,3.3306690738754696e-16,0.0,0,13.409053077865051,06-14 12:42:13
PPO~KeepTrian~detach~cvae~expert,42,-0.71,71.0,3,11.075665636720995,06-14 12:42:17
PPO~KeepTrian~detach~cvae~expert,42,-1.5,150.0,5,9.214870288815716,06-14 12:42:21
PPO~KeepTrian~detach~cvae~expert,42,-2.7755575615628914e-16,0.0,0,12.197629740425295,06-14 12:42:24
PPO~KeepTrian~detach~cvae~expert,42,2.7755575615628914e-16,0.0,0,13.249208061611565,06-14 12:42:28
PPO~KeepTrian~detach~cvae~expert,42,-2.01,201.0,3,10.933101839648922,06-14 12:42:31
PPO~KeepTrian~detach~cvae~expert,42,2.220446049250313e-16,0.0,0,11.363204638213224,06-14 12:42:34
PPO~KeepTrian~detach~cvae~expert,42,-0.7,70.0,3,10.975614289219319,06-14 12:42:37
PPO~KeepTrian~detach~cvae~expert,42,0.0,0.0,0,11.96739054413988,06-14 12:42:41
PPO~KeepTrian~detach~cvae~expert,42,-1.4899999999999998,149.0,5,9.191113913948781,06-14 12:42:44
PPO~KeepTrian~detach~cvae~expert,42,-0.7,70.0,2,11.046189975730039,06-14 12:42:48
PPO~KeepTrian~detach~cvae~expert,42,-0.3299999999999995,33.0,1,12.543129846611373,06-14 12:42:51
PPO~KeepTrian~detach~cvae~expert,42,2.220446049250313e-16,0.0,0,13.011144263266983,06-14 12:42:54
PPO~KeepTrian~detach~cvae~expert,42,-1.1102230246251565e-16,0.0,0,12.191505396903109,06-14 12:42:57
PPO~KeepTrian~detach~cvae~expert,42,-0.3800000000000002,38.0,2,11.75123835578572,06-14 12:43:01
PPO~KeepTrian~detach~cvae~expert,42,1.1102230246251565e-16,0.0,0,10.887904269751358,06-14 12:43:04
PPO~KeepTrian~detach~cvae~expert,42,-6.05,112.0,3,10.816913240232006,06-14 12:43:08
PPO~KeepTrian~detach~cvae~expert,42,-3.8100000000000005,0.0,0,10.171717151727202,06-14 12:43:11
PPO~KeepTrian~detach~cvae~expert,42,-4.58,313.0,6,9.54625214989144,06-14 12:43:15
PPO~KeepTrian~detach~cvae~expert,42,-3.7,226.0,2,10.296820247466991,06-14 12:43:18
PPO~KeepTrian~detach~cvae~expert,42,-1.08,108.0,4,10.451091194320997,06-14 12:43:21
PPO~KeepTrian~detach~cvae~expert,42,4.440892098500626e-16,0.0,0,11.865199973384039,06-14 12:43:24
PPO~KeepTrian~detach~cvae~expert,42,-0.1999999999999993,0.0,0,10.77732695536787,06-14 12:43:27
PPO~KeepTrian~detach~cvae~expert,42,-0.6999999999999996,70.0,2,11.03251430955913,06-14 12:43:30
PPO~KeepTrian~detach~cvae~expert,42,-4.163336342344337e-16,0.0,0,13.238875502110634,06-14 12:43:34
