Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~cvae,44,-1727.96,8371.0,277,1.983581763450228,06-13 22:09:43
PPO~cvae,44,-1672.83,2582.0,232,2.168937946792375,06-13 22:09:52
PPO~cvae,44,-1311.87,1955.0,139,1.812693782330789,06-13 22:10:00
PPO~cvae,44,-617.07,1132.0,95,3.359187151348557,06-13 22:10:09
PPO~cvae,44,-684.36,4629.0,160,2.2992278849649224,06-13 22:10:16
PPO~cvae,44,-111.68,1142.0,20,7.870817844905764,06-13 22:10:23
PPO~cvae,44,-412.45,1847.0,54,3.348170225893799,06-13 22:10:29
PPO~cvae,44,-491.46,3380.0,69,2.8748429393142714,06-13 22:10:36
PPO~cvae,44,-1044.5,10175.0,118,3.143834430734958,06-13 22:10:43
PPO~cvae,44,-686.04,4383.0,67,2.9551072290643443,06-13 22:10:48
PPO~cvae,44,-554.84,3476.0,89,3.23851891255164,06-13 22:10:54
PPO~cvae,44,-446.76,611.0,46,6.258834174195329,06-13 22:11:01
PPO~cvae,44,-652.99,11361.0,95,2.6160087315259983,06-13 22:11:08
PPO~cvae,44,-490.19,2366.0,70,3.258316881833492,06-13 22:11:14
PPO~cvae,44,-1027.42,4710.0,94,3.1654953815435722,06-13 22:11:19
PPO~cvae,44,-312.29,676.0,35,5.555337596043256,06-13 22:11:24
PPO~cvae,44,-866.55,4179.0,92,2.122813108470075,06-13 22:11:29
PPO~cvae,44,-66.97,919.0,14,5.549223516769338,06-13 22:11:35
PPO~cvae,44,-113.77,1950.0,18,5.759253505260903,06-13 22:11:41
PPO~cvae,44,-357.13,1027.0,46,3.536871549272717,06-13 22:11:46
PPO~cvae,44,-254.04,6709.0,47,3.2543782887776196,06-13 22:11:50
PPO~cvae,44,-185.95,2483.0,45,4.634554603878677,06-13 22:11:55
PPO~cvae,44,-72.15,249.0,16,7.346646383760735,06-13 22:12:00
PPO~cvae,44,-175.33,2597.0,31,4.086698266008835,06-13 22:12:05
PPO~cvae,44,-41.53,1653.0,23,3.6125631025982043,06-13 22:12:10
PPO~cvae,44,-4.163336342344337e-17,0.0,0,13.279470250792208,06-13 22:12:14
PPO~cvae,44,-1.0699999999999985,107.0,4,9.645143006470068,06-13 22:12:18
PPO~cvae,44,-57.53,16.0,7,4.8357122289142325,06-13 22:12:23
PPO~cvae,44,-0.44000000000000006,44.0,2,10.89067465737194,06-13 22:12:27
PPO~cvae,44,-64.62,832.0,12,8.687849596189498,06-13 22:12:32
PPO~cvae,44,-0.10000000000000095,8.0,1,10.800071749996057,06-13 22:12:36
PPO~cvae,44,-2.17,217.0,6,8.271355074568618,06-13 22:12:41
PPO~cvae,44,-5.03,503.0,10,5.357884101406108,06-13 22:12:44
PPO~cvae,44,0.0,0.0,0,13.339139895300319,06-13 22:12:49
PPO~cvae,44,-22.6,227.0,11,6.40844921761904,06-13 22:12:53
PPO~cvae,44,-3.9000000000000004,213.0,6,5.538021342472875,06-13 22:12:57
PPO~cvae,44,6.661338147750939e-16,0.0,0,12.234591111714462,06-13 22:13:01
PPO~cvae,44,-95.27,3330.0,16,6.4027903108817075,06-13 22:13:05
PPO~cvae,44,-72.5,414.0,12,7.7957209047513745,06-13 22:13:10
PPO~cvae,44,-73.58,373.0,15,7.95873419049077,06-13 22:13:13
PPO~cvae,44,3.885780586188048e-16,0.0,0,12.66141008137114,06-13 22:13:17
PPO~cvae,44,0.0,0.0,0,13.398960408601239,06-13 22:13:20
PPO~cvae,44,0.0,0.0,0,12.753343111044428,06-13 22:13:24
PPO~cvae,44,-0.39000000000000046,3.0,1,9.396260552227822,06-13 22:13:28
PPO~cvae,44,-1.75,175.0,6,7.005090014887075,06-13 22:13:33
PPO~cvae,44,-0.48000000000000076,48.0,2,12.107961244190873,06-13 22:13:37
PPO~cvae,44,-2.95,98.0,1,7.918852968590468,06-13 22:13:40
PPO~cvae,44,-7.52,619.0,14,7.287662244280643,06-13 22:13:44
PPO~cvae,44,4.996003610813204e-16,0.0,0,12.037496605515479,06-13 22:13:47
PPO~cvae,44,-4.65,379.0,8,7.835046490262753,06-13 22:13:51
PPO~cvae,44,-3.95,395.0,6,7.2611826477730705,06-13 22:13:55
PPO~cvae,44,-0.27,0.0,0,9.30927729121828,06-13 22:13:59
PPO~cvae,44,-10.860000000000001,1085.0,16,3.1766489384697367,06-13 22:14:02
PPO~cvae,44,-6.35,643.0,10,7.702363973508306,06-13 22:14:06
PPO~cvae,44,-41.81,3689.0,27,5.06254869450171,06-13 22:14:09
PPO~cvae,44,-4.949999999999999,495.0,11,4.955808020690236,06-13 22:14:12
PPO~cvae,44,-20.23,1994.0,21,2.5334051709707675,06-13 22:14:16
PPO~cvae,44,-4.369999999999997,437.0,8,7.1629546063689915,06-13 22:14:19
PPO~cvae,44,0.0,0.0,0,13.32649112583908,06-13 22:14:22
PPO~cvae,44,-1.3900000000000001,139.0,5,9.603348561575695,06-13 22:14:26
PPO~cvae,44,-4.11,411.0,7,8.412968088357715,06-13 22:14:29
PPO~cvae,44,-0.7400000000000001,74.0,3,10.693251008351977,06-13 22:14:32
PPO~cvae,44,-7.49,749.0,6,8.340323568379226,06-13 22:14:36
PPO~cvae,44,-0.3099999999999999,31.0,1,12.531473585183683,06-13 22:14:39
PPO~cvae,44,-0.23000000000000012,7.0,1,11.962793034438056,06-13 22:14:42
PPO~cvae,44,-0.6999999999999998,70.0,2,11.426318020266514,06-13 22:14:46
PPO~cvae,44,-17.31,915.0,19,3.5016348343022554,06-13 22:14:49
PPO~cvae,44,-0.17000000000000046,17.0,1,13.0111872787069,06-13 22:14:52
PPO~cvae,44,-3.9699999999999998,397.0,6,9.438256656170614,06-13 22:14:56
PPO~cvae,44,-26.4,2640.0,18,4.65692661255006,06-13 22:14:59
PPO~cvae,44,-2.97,297.0,5,9.052778802500807,06-13 22:15:02
PPO~cvae,44,-4.450000000000001,410.0,8,7.595472581422701,06-13 22:15:06
PPO~cvae,44,-6.36,636.0,8,7.359010813372139,06-13 22:15:09
PPO~cvae,44,-1.3299999999999998,129.0,3,10.416017137016642,06-13 22:15:12
PPO~cvae,44,-9.289999999999997,914.0,10,3.825498220327013,06-13 22:15:15
PPO~cvae,44,1.1102230246251565e-16,0.0,0,12.249691458929908,06-13 22:15:19
