Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~cvae~expert,51,-2026.39,2136.0,193,2.0718069000308565,06-13 18:02:42
PPO~cvae~expert,51,-960.65,4417.0,216,1.461895619705038,06-13 18:02:49
PPO~cvae~expert,51,-791.08,5477.0,124,2.3945511823201007,06-13 18:02:58
PPO~cvae~expert,51,-415.17,1387.0,89,3.567330749996516,06-13 18:03:06
PPO~cvae~expert,51,-506.89,1909.0,133,2.6220125558579164,06-13 18:03:13
PPO~cvae~expert,51,-212.35,991.0,47,5.5653767503746385,06-13 18:03:20
PPO~cvae~expert,51,-237.36,1064.0,40,4.826179001985603,06-13 18:03:26
PPO~cvae~expert,51,-519.94,9091.0,143,1.069021414100919,06-13 18:03:33
PPO~cvae~expert,51,-245.78,1116.0,81,4.3465649266537625,06-13 18:03:39
PPO~cvae~expert,51,-398.22,3877.0,103,2.4234869517984055,06-13 18:03:46
PPO~cvae~expert,51,-815.63,7156.0,97,2.642999312968374,06-13 18:03:52
PPO~cvae~expert,51,-377.52,2784.0,57,2.3190303102278595,06-13 18:03:58
PPO~cvae~expert,51,-667.3,3486.0,114,2.0675430544707285,06-13 18:04:04
PPO~cvae~expert,51,-426.81,1212.0,74,4.032312220767584,06-13 18:04:09
PPO~cvae~expert,51,-521.8,3933.0,71,2.340940542006201,06-13 18:04:15
PPO~cvae~expert,51,-482.6,1035.0,55,2.5402498808472433,06-13 18:04:20
PPO~cvae~expert,51,-752.31,8962.0,75,2.6099946148267246,06-13 18:04:26
PPO~cvae~expert,51,-921.54,5025.0,193,2.137333516091186,06-13 18:04:32
PPO~cvae~expert,51,-332.11,3497.0,53,4.046707267292301,06-13 18:04:37
PPO~cvae~expert,51,-148.61,1437.0,30,5.236007884309534,06-13 18:04:43
PPO~cvae~expert,51,-808.08,4681.0,179,1.9193738064093218,06-13 18:04:49
PPO~cvae~expert,51,-143.79,614.0,28,5.045488414395532,06-13 18:04:55
PPO~cvae~expert,51,-851.58,3580.0,144,2.441278588221412,06-13 18:05:01
PPO~cvae~expert,51,-435.89,5825.0,53,1.7656330918248229,06-13 18:05:08
PPO~cvae~expert,51,-268.01,2797.0,45,2.2930133377404354,06-13 18:05:14
PPO~cvae~expert,51,-268.25,910.0,46,6.135174485427719,06-13 18:05:19
PPO~cvae~expert,51,-111.16,536.0,25,4.736426915429084,06-13 18:05:24
PPO~cvae~expert,51,-28.82,320.0,14,6.160330087032206,06-13 18:05:29
PPO~cvae~expert,51,-41.86,1101.0,18,3.924686996823272,06-13 18:05:33
PPO~cvae~expert,51,-349.8,1645.0,75,2.6686904391430395,06-13 18:05:39
PPO~cvae~expert,51,-94.59,1379.0,23,5.972351042451454,06-13 18:05:46
PPO~cvae~expert,51,-270.55,2349.0,60,4.4707288071703735,06-13 18:05:51
PPO~cvae~expert,51,-317.89,3620.0,45,3.4436873706244233,06-13 18:05:55
PPO~cvae~expert,51,-51.74,825.0,12,8.79771547713281,06-13 18:06:00
PPO~cvae~expert,51,-166.9,743.0,30,5.346757859762271,06-13 18:06:06
PPO~cvae~expert,51,-219.44,968.0,32,4.986051933066183,06-13 18:06:12
PPO~cvae~expert,51,-149.51,487.0,12,6.124135581656865,06-13 18:06:16
PPO~cvae~expert,51,-483.3,1945.0,68,3.104615842553896,06-13 18:06:22
PPO~cvae~expert,51,-282.07,559.0,37,5.402840897582399,06-13 18:06:28
PPO~cvae~expert,51,-162.68,114.0,6,5.543077373479769,06-13 18:06:33
PPO~cvae~expert,51,-209.86,1135.0,20,5.453450406107929,06-13 18:06:38
PPO~cvae~expert,51,-221.04,994.0,29,5.984154227198279,06-13 18:06:42
PPO~cvae~expert,51,-151.2,915.0,26,5.944424549472742,06-13 18:06:46
PPO~cvae~expert,51,-2.69,269.0,7,7.032009486822349,06-13 18:06:51
PPO~cvae~expert,51,-93.21,1148.0,15,6.4704189826982015,06-13 18:06:55
PPO~cvae~expert,51,-2.6200000000000006,262.0,8,5.422371026898495,06-13 18:07:00
PPO~cvae~expert,51,-2.65,265.0,7,5.7695787671488645,06-13 18:07:05
PPO~cvae~expert,51,-3.72,372.0,8,8.628269149519308,06-13 18:07:08
PPO~cvae~expert,51,-204.57,8634.0,37,4.237637778606643,06-13 18:07:15
PPO~cvae~expert,51,-3955.38,15114.0,439,1.2403910505438034,06-13 18:07:24
PPO~cvae~expert,51,-18.18,830.0,11,4.833142204056425,06-13 18:07:28
PPO~cvae~expert,51,-43.85,325.0,9,6.513241121645954,06-13 18:07:33
PPO~cvae~expert,51,-0.7000000000000005,70.0,3,11.087559506275035,06-13 18:07:37
PPO~cvae~expert,51,-42.64,894.0,19,4.315047941839423,06-13 18:07:41
PPO~cvae~expert,51,-27.47,2219.0,10,8.436136283301979,06-13 18:07:45
PPO~cvae~expert,51,-16.69,478.0,4,9.576768861574807,06-13 18:07:49
PPO~cvae~expert,51,-1.9800000000000015,198.0,6,7.854520937674981,06-13 18:07:52
PPO~cvae~expert,51,-1.82,89.0,1,10.483902678461451,06-13 18:07:56
PPO~cvae~expert,51,-34.6,2679.0,13,5.741639278846072,06-13 18:08:00
PPO~cvae~expert,51,-15.14,874.0,16,2.958496148133641,06-13 18:08:03
PPO~cvae~expert,51,-0.5999999999999998,60.0,2,11.10631540291138,06-13 18:08:07
PPO~cvae~expert,51,-26.29,1241.0,6,9.986886003501477,06-13 18:08:10
PPO~cvae~expert,51,-10.97,95.0,5,8.876426706382498,06-13 18:08:14
PPO~cvae~expert,51,0.0,0.0,0,12.71042353961143,06-13 18:08:17
PPO~cvae~expert,51,-2.0199999999999996,202.0,6,9.453269840296398,06-13 18:08:20
PPO~cvae~expert,51,-0.41999999999999976,42.0,2,12.036883014034599,06-13 18:08:23
PPO~cvae~expert,51,-6.559999999999999,0.0,0,7.192174584088144,06-13 18:08:27
PPO~cvae~expert,51,-0.7299999999999999,73.0,3,9.735533470556602,06-13 18:08:31
PPO~cvae~expert,51,-9.04,733.0,9,6.30373724079199,06-13 18:08:34
PPO~cvae~expert,51,-6.47,647.0,10,5.327611845532319,06-13 18:08:38
PPO~cvae~expert,51,-1.59,118.0,1,11.943003048043122,06-13 18:08:41
PPO~cvae~expert,51,-7.07,707.0,4,10.79094110211148,06-13 18:08:44
PPO~cvae~expert,51,-1.1102230246251565e-16,0.0,0,10.719075009811133,06-13 18:08:47
PPO~cvae~expert,51,-3.229999999999999,323.0,1,11.974608864795595,06-13 18:08:51
PPO~cvae~expert,51,-6.1,499.0,3,9.370857409285243,06-13 18:08:54
PPO~cvae~expert,51,-26.02,2602.0,6,8.670438187492183,06-13 18:08:58
PPO~cvae~expert,51,-10.13,1013.0,13,3.3943037564632785,06-13 18:09:01
PPO~cvae~expert,51,-11.62,1143.0,5,8.79357145986764,06-13 18:09:04
PPO~cvae~expert,51,-25.64,1957.0,22,2.3045558911342514,06-13 18:09:07
PPO~cvae~expert,51,-2.0999999999999996,210.0,7,8.581163321314117,06-13 18:09:10
PPO~cvae~expert,51,-32.02,973.0,11,9.298635403484198,06-13 18:09:13
PPO~cvae~expert,51,-24.38,1088.0,6,11.367589751365623,06-13 18:09:16
PPO~cvae~expert,51,-62.78,5673.0,29,4.013579211408931,06-13 18:09:20
PPO~cvae~expert,51,-126.83,5468.0,42,3.2033462946520186,06-13 18:09:24
PPO~cvae~expert,51,-146.09,8205.0,53,1.241715138837142,06-13 18:09:28
PPO~cvae~expert,51,-2.05,129.0,1,6.775353978755273,06-13 18:09:31
PPO~cvae~expert,51,-0.40000000000000113,40.0,2,10.92815664678671,06-13 18:09:34
PPO~cvae~expert,51,-2.77,277.0,5,10.842578291375897,06-13 18:09:37
PPO~cvae~expert,51,-13.77,1377.0,12,6.19296603826885,06-13 18:09:40
PPO~cvae~expert,51,-12.19,877.0,13,3.4533426834399084,06-13 18:09:43
PPO~cvae~expert,51,-3.3306690738754696e-16,0.0,0,9.383423952975718,06-13 18:09:46
PPO~cvae~expert,51,-0.69,69.0,3,10.558348152364491,06-13 18:09:49
PPO~cvae~expert,51,-5.11,511.0,9,5.462844857278318,06-13 18:09:52
PPO~cvae~expert,51,0.0,0.0,0,11.425415194971722,06-13 18:09:55
PPO~cvae~expert,51,-4.440892098500626e-16,0.0,0,12.974403138017719,06-13 18:09:59
PPO~cvae~expert,51,-8.03,487.0,12,5.475178719852253,06-13 18:10:01
PPO~cvae~expert,51,-47.26,1781.0,15,4.244129564750544,06-13 18:10:04
PPO~cvae~expert,51,-4.440892098500626e-16,0.0,0,11.764834140172207,06-13 18:10:07
PPO~cvae~expert,51,-2.6599999999999993,266.0,7,7.336668800488689,06-13 18:10:10
PPO~cvae~expert,51,-2.56,256.0,8,4.758379906623609,06-13 18:10:14
