Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~cvae~regular,47,-2197.82,4830.0,298,1.7839337970045441,06-13 15:00:06
PPO~cvae~regular,47,-1980.79,2535.0,233,2.0456300623628283,06-13 15:00:14
PPO~cvae~regular,47,-470.06,982.0,81,3.6811005028256276,06-13 15:00:20
PPO~cvae~regular,47,-622.38,1583.0,111,2.87538971754556,06-13 15:00:26
PPO~cvae~regular,47,-1525.9,36647.0,307,0.48720055813848107,06-13 15:00:32
PPO~cvae~regular,47,-180.0,1525.0,38,6.428266103253819,06-13 15:00:37
PPO~cvae~regular,47,-192.14,562.0,41,5.2828017286646425,06-13 15:00:42
PPO~cvae~regular,47,-467.25,848.0,69,5.002274277241907,06-13 15:00:48
PPO~cvae~regular,47,-830.28,5890.0,159,2.119060847920006,06-13 15:00:53
PPO~cvae~regular,47,-235.46,2863.0,45,4.347912780399816,06-13 15:00:57
PPO~cvae~regular,47,-373.14,4597.0,62,3.149507000744282,06-13 15:01:01
PPO~cvae~regular,47,-163.93,2897.0,33,4.704830414879414,06-13 15:01:05
PPO~cvae~regular,47,-277.65,1531.0,39,3.9712195393531715,06-13 15:01:09
PPO~cvae~regular,47,-149.16,1209.0,34,2.8083609519249,06-13 15:01:12
PPO~cvae~regular,47,-25.04,114.0,6,9.939523637691497,06-13 15:01:16
PPO~cvae~regular,47,-130.78,529.0,25,6.423667571775104,06-13 15:01:20
PPO~cvae~regular,47,-377.5,4409.0,60,1.9561711215770958,06-13 15:01:23
PPO~cvae~regular,47,-244.6,307.0,29,6.339009143935391,06-13 15:01:27
PPO~cvae~regular,47,-268.7,2210.0,31,5.986195243924536,06-13 15:01:30
PPO~cvae~regular,47,-66.31,245.0,11,5.926855315182948,06-13 15:01:34
PPO~cvae~regular,47,-157.48,154.0,15,5.34232056160641,06-13 15:01:38
PPO~cvae~regular,47,-5.32,314.0,11,7.9158231105802885,06-13 15:01:42
PPO~cvae~regular,47,-19.15,291.0,8,8.256190171366415,06-13 15:01:46
PPO~cvae~regular,47,-1.5500000000000003,49.0,1,12.118497526784756,06-13 15:01:50
PPO~cvae~regular,47,-25.57,101.0,5,8.516515735159134,06-13 15:01:55
PPO~cvae~regular,47,-27.75,24.0,5,9.237469067500038,06-13 15:01:59
PPO~cvae~regular,47,-14.17,81.0,4,9.707961140019586,06-13 15:02:03
PPO~cvae~regular,47,-48.75,323.0,12,7.697879522859876,06-13 15:02:07
PPO~cvae~regular,47,-12.69,143.0,4,10.561589376077933,06-13 15:02:10
