Algorithm,Seed,Return,Waiting time,Queue length,Mean speed,Log time
PPO~detach~cvae~expert,44,-1727.96,8371.0,277,1.983581763450228,06-14 12:51:52
PPO~detach~cvae~expert,44,-1672.83,2582.0,232,2.168937946792375,06-14 12:52:06
PPO~detach~cvae~expert,44,-1311.87,1955.0,139,1.812693782330789,06-14 12:52:19
PPO~detach~cvae~expert,44,-680.04,1137.0,96,2.7172296660839224,06-14 12:52:28
PPO~detach~cvae~expert,44,-258.14,2612.0,71,3.6844404361379754,06-14 12:52:36
PPO~detach~cvae~expert,44,-138.77,1320.0,24,7.418370477606718,06-14 12:52:44
PPO~detach~cvae~expert,44,-491.12,1120.0,59,3.3231748757930233,06-14 12:52:52
PPO~detach~cvae~expert,44,-529.2,2875.0,64,2.8408280643538624,06-14 12:53:00
PPO~detach~cvae~expert,44,-1165.37,10447.0,135,3.3936337649917805,06-14 12:53:10
PPO~detach~cvae~expert,44,-665.51,4494.0,64,3.2173655095691216,06-14 12:53:17
PPO~detach~cvae~expert,44,-667.88,3343.0,96,2.8902543892435744,06-14 12:53:26
PPO~detach~cvae~expert,44,-474.13,692.0,43,6.3923143754944975,06-14 12:53:33
PPO~detach~cvae~expert,44,-832.34,8922.0,111,1.5859082027745899,06-14 12:53:39
PPO~detach~cvae~expert,44,-554.08,2084.0,70,3.2039694701614483,06-14 12:53:46
PPO~detach~cvae~expert,44,-810.99,5019.0,109,2.117515237480574,06-14 12:53:52
PPO~detach~cvae~expert,44,-336.35,592.0,35,5.439296594857495,06-14 12:54:00
PPO~detach~cvae~expert,44,-598.69,1516.0,68,3.173459294223996,06-14 12:54:08
PPO~detach~cvae~expert,44,-1381.3,6620.0,253,1.1700123306948482,06-14 12:54:20
PPO~detach~cvae~expert,44,-296.95,4556.0,54,5.0010616632476275,06-14 12:54:29
PPO~detach~cvae~expert,44,-1432.53,6007.0,255,1.2887274571615075,06-14 12:54:38
PPO~detach~cvae~expert,44,-570.9,10962.0,87,1.987074575207445,06-14 12:54:45
PPO~detach~cvae~expert,44,-261.63,2886.0,74,3.5044062296639997,06-14 12:54:53
PPO~detach~cvae~expert,44,-341.52,2459.0,51,3.0043841877708366,06-14 12:55:03
PPO~detach~cvae~expert,44,-438.55,5196.0,71,2.5783809564179134,06-14 12:55:12
PPO~detach~cvae~expert,44,-104.06,195.0,16,6.245425730335815,06-14 12:55:18
PPO~detach~cvae~expert,44,-98.89,988.0,19,6.490440086862936,06-14 12:55:24
PPO~detach~cvae~expert,44,-35.62,222.0,12,8.234600873131711,06-14 12:55:29
PPO~detach~cvae~expert,44,-86.89,74.0,14,6.000836888688877,06-14 12:55:34
PPO~detach~cvae~expert,44,-119.16,1717.0,35,4.8771469241368015,06-14 12:55:41
PPO~detach~cvae~expert,44,-163.08,1901.0,34,7.098459977998697,06-14 12:55:48
PPO~detach~cvae~expert,44,-13.46,242.0,5,10.059776274056267,06-14 12:55:54
PPO~detach~cvae~expert,44,-64.79,629.0,17,6.096636328048956,06-14 12:56:00
PPO~detach~cvae~expert,44,-19.3,537.0,11,7.269575796746931,06-14 12:56:05
PPO~detach~cvae~expert,44,-0.84,69.0,2,10.10157992930804,06-14 12:56:12
PPO~detach~cvae~expert,44,-186.11,426.0,29,4.201353433429785,06-14 12:56:17
PPO~detach~cvae~expert,44,-104.22,648.0,16,4.901118008840245,06-14 12:56:21
PPO~detach~cvae~expert,44,-2.32,58.0,1,8.388262850971543,06-14 12:56:25
