Algorithm,Seed,Return,Pool size,Log time
RDQN_Normal,44,-1629.47,400,06-20 10:58:55
RDQN_Normal,44,-2496.85,800,06-20 10:59:10
RDQN_Normal,44,-2512.12,1200,06-20 10:59:24
RDQN_Normal,44,-2514.17,1600,06-20 10:59:38
RDQN_Normal,44,-2515.03,2000,06-20 10:59:51
RDQN_Normal,44,-224.93,2400,06-20 11:00:11
RDQN_Normal,44,-1128.51,2800,06-20 11:00:25
RDQN_Normal,44,-1132.8,3200,06-20 11:00:38
RDQN_Normal,44,-271.09,3600,06-20 11:00:50
RDQN_Normal,44,-181.1,4000,06-20 11:01:03
RDQN_Normal,44,-88.19,4400,06-20 11:01:17
RDQN_Normal,44,-26.4,4800,06-20 11:01:34
RDQN_Normal,44,-7.3,5200,06-20 11:01:50
RDQN_Normal,44,-5.551115123125783e-17,5600,06-20 11:02:02
RDQN_Normal,44,-26.95,6000,06-20 11:02:14
RDQN_Normal,44,-30.93,6400,06-20 11:02:26
RDQN_Normal,44,-5.23,6800,06-20 11:02:38
RDQN_Normal,44,-11.46,7200,06-20 11:02:50
RDQN_Normal,44,-2.91,7600,06-20 11:03:01
RDQN_Normal,44,-11.68,8000,06-20 11:03:13
RDQN_Normal,44,-0.3100000000000009,8400,06-20 11:03:24
RDQN_Normal,44,-19.03,8800,06-20 11:03:35
RDQN_Normal,44,-9.17,9200,06-20 11:03:46
RDQN_Normal,44,4.996003610813204e-16,9600,06-20 11:03:57
RDQN_Normal,44,-3.98,10000,06-20 11:04:09
RDQN_Normal,44,-6.31,10400,06-20 11:04:21
RDQN_Normal,44,-26.89,10800,06-20 11:04:33
RDQN_Normal,44,-22.22,11200,06-20 11:04:45
RDQN_Normal,44,-35.94,11600,06-20 11:04:56
RDQN_Normal,44,-0.41999999999999993,12000,06-20 11:05:11
