Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_expert,43,-5815.58,553,06-20 11:30:41
RDQN~cvae_expert,43,-1495.88,2141,06-20 11:31:10
RDQN~cvae_expert,43,-1303.23,3959,06-20 11:31:37
RDQN~cvae_expert,43,-1383.32,10810,06-20 11:31:57
RDQN~cvae_expert,43,-1219.33,14525,06-20 11:32:17
RDQN~cvae_expert,43,-1245.05,15231,06-20 11:32:44
RDQN~cvae_expert,43,-1216.12,15784,06-20 11:33:07
RDQN~cvae_expert,43,-1250.4,16490,06-20 11:33:30
RDQN~cvae_expert,43,-1217.73,17196,06-20 11:33:50
RDQN~cvae_expert,43,-1216.32,17749,06-20 11:34:10
RDQN~cvae_expert,43,-1215.89,18455,06-20 11:34:28
RDQN~cvae_expert,43,-1251.28,19008,06-20 11:34:47
RDQN~cvae_expert,43,-1223.87,19714,06-20 11:35:07
RDQN~cvae_expert,43,-1247.01,20000,06-20 11:35:25
RDQN~cvae_expert,43,-1233.75,20000,06-20 11:35:45
RDQN~cvae_expert,43,-1333.09,20000,06-20 11:36:04
RDQN~cvae_expert,43,-852.64,20000,06-20 11:36:23
RDQN~cvae_expert,43,-1058.25,20000,06-20 11:36:42
RDQN~cvae_expert,43,-765.0,20000,06-20 11:37:01
RDQN~cvae_expert,43,-39.29,20000,06-20 11:37:21
RDQN~cvae_expert,43,-269.9,20000,06-20 11:37:42
RDQN~cvae_expert,43,-257.54,20000,06-20 11:38:04
RDQN~cvae_expert,43,-465.82,20000,06-20 11:38:26
RDQN~cvae_expert,43,-410.69,20000,06-20 11:38:46
RDQN~cvae_expert,43,-6.43,20000,06-20 11:39:05
RDQN~cvae_expert,43,-30.02,20000,06-20 11:39:24
RDQN~cvae_expert,43,-38.01,20000,06-20 11:39:43
RDQN~cvae_expert,43,-21.38,20000,06-20 11:40:03
RDQN~cvae_expert,43,-0.19999999999999998,20000,06-20 11:40:22
RDQN~cvae_expert,43,-6.109999999999999,20000,06-20 11:40:41
