Algorithm,Seed,Return,Pool size,Log time
RDQN~cvae_regular,43,-5815.58,553,06-20 11:30:43
RDQN~cvae_regular,43,-1406.98,2141,06-20 11:31:07
RDQN~cvae_regular,43,-1202.71,3959,06-20 11:31:25
RDQN~cvae_regular,43,-800.19,10810,06-20 11:31:43
RDQN~cvae_regular,43,-1545.02,14525,06-20 11:32:02
RDQN~cvae_regular,43,-257.25,15231,06-20 11:32:20
RDQN~cvae_regular,43,-122.51,15784,06-20 11:32:38
RDQN~cvae_regular,43,-482.49,16490,06-20 11:32:58
RDQN~cvae_regular,43,-410.64,17196,06-20 11:33:13
RDQN~cvae_regular,43,-163.35,17749,06-20 11:33:28
RDQN~cvae_regular,43,-239.0,18455,06-20 11:33:43
RDQN~cvae_regular,43,-304.35,19008,06-20 11:34:04
RDQN~cvae_regular,43,-48.2,19714,06-20 11:34:21
RDQN~cvae_regular,43,-50.94,20000,06-20 11:34:37
RDQN~cvae_regular,43,-45.81,20000,06-20 11:34:53
RDQN~cvae_regular,43,-130.41,20000,06-20 11:35:09
RDQN~cvae_regular,43,-11.6,20000,06-20 11:35:24
RDQN~cvae_regular,43,-48.82,20000,06-20 11:35:41
RDQN~cvae_regular,43,-6.26,20000,06-20 11:35:58
RDQN~cvae_regular,43,-25.24,20000,06-20 11:36:13
RDQN~cvae_regular,43,0.0,20000,06-20 11:36:28
RDQN~cvae_regular,43,-16.53,20000,06-20 11:36:42
RDQN~cvae_regular,43,-38.35,20000,06-20 11:36:57
RDQN~cvae_regular,43,-25.88,20000,06-20 11:37:09
RDQN~cvae_regular,43,-65.05,20000,06-20 11:37:23
RDQN~cvae_regular,43,-0.18000000000000013,20000,06-20 11:37:37
RDQN~cvae_regular,43,-9.9,20000,06-20 11:37:50
RDQN~cvae_regular,43,-132.99,20000,06-20 11:38:06
RDQN~cvae_regular,43,-84.69,20000,06-20 11:38:21
RDQN~cvae_regular,43,-13.45,20000,06-20 11:38:35
